order_item_id,order_id,item_id,quantity,unit_price,size,addons,line_total
OI0000001,O000001,M009,1,110,Small,,110
OI0000002,O000001,M009,2,110,Small,,220
OI0000003,O000002,M030,1,100,Large,,100
OI0000004,O000002,M026,1,150,NA,,150
OI0000005,O000003,M019,1,100,NA,,100
OI0000006,O000004,M034,1,60,NA,,60
OI0000007,O000005,M019,1,100,NA,,100
OI0000008,O000006,M015,1,110,Large,,110
OI0000009,O000006,M011,1,130,Large,,130
OI0000010,O000007,M022,1,120,NA,,120
OI0000011,O000007,M016,2,120,Large,,240
OI0000012,O000007,M020,1,100,NA,,100
OI0000013,O000008,M022,1,120,NA,,120
OI0000014,O000008,M009,1,110,Small,Extra Shot,140
OI0000015,O000009,M035,1,100,NA,,100
OI0000016,O000010,M010,1,130,Large,Extra Shot,160
OI0000017,O000010,M009,1,110,Small,,110
OI0000018,O000011,M009,1,110,Small,Oat Milk,140
OI0000019,O000011,M009,1,110,Small,,110
OI0000020,O000012,M006,1,75,Large,Extra Shot,105
OI0000021,O000012,M026,1,150,NA,,150
OI0000022,O000012,M035,1,100,NA,,100
OI0000023,O000013,M017,1,110,Small,,110
OI0000024,O000013,M009,1,110,Small,,110
OI0000025,O000013,M031,1,150,NA,,150
OI0000026,O000014,M012,1,110,Large,Oat Milk,140
OI0000027,O000014,M035,1,100,NA,,100
OI0000028,O000014,M035,1,100,NA,,100
OI0000029,O000015,M027,1,90,Small,,90
OI0000030,O000016,M024,1,110,NA,,110
OI0000031,O000016,M006,2,75,Large,,150
OI0000032,O000016,M034,1,60,NA,,60
OI0000033,O000017,M005,2,60,Small,Vanilla Syrup,150
OI0000034,O000017,M031,2,150,NA,,300
OI0000035,O000017,M006,1,75,Large,,75
OI0000036,O000018,M015,1,110,Large,,110
OI0000037,O000019,M017,1,110,Small,,110
OI0000038,O000019,M019,1,100,NA,,100
OI0000039,O000020,M005,1,60,Small,,60
OI0000040,O000020,M005,1,60,Small,,60
OI0000041,O000020,M034,2,60,NA,,120
OI0000042,O000021,M004,1,70,Large,Oat Milk,100
OI0000043,O000022,M012,2,110,Large,Oat Milk,250
OI0000044,O000022,M010,1,130,Large,,130
OI0000045,O000022,M008,2,100,Large,,200
OI0000046,O000023,M015,1,110,Large,,110
OI0000047,O000023,M009,2,110,Small,,220
OI0000048,O000024,M005,1,60,Small,,60
OI0000049,O000025,M007,2,80,Small,,160
OI0000050,O000025,M010,1,130,Large,Extra Shot,160
OI0000051,O000026,M029,1,90,Small,,90
OI0000052,O000027,M028,1,100,Large,,100
OI0000053,O000027,M024,1,110,NA,,110
OI0000054,O000028,M021,1,100,NA,,100
OI0000055,O000029,M006,1,75,Large,Oat Milk,105
OI0000056,O000030,M004,2,70,Large,,170
OI0000057,O000030,M006,2,75,Large,,150
OI0000058,O000030,M012,1,110,Large,,110
OI0000059,O000031,M034,2,60,NA,,120
OI0000060,O000031,M023,1,130,NA,,130
OI0000061,O000032,M009,1,110,Small,,110
OI0000062,O000032,M025,1,150,NA,,150
OI0000063,O000033,M010,2,130,Large,,260
OI0000064,O000033,M006,2,75,Large,,150
OI0000065,O000034,M018,2,130,Large,,290
OI0000066,O000034,M012,1,110,Large,Extra Shot,140
OI0000067,O000035,M010,1,130,Large,,130
OI0000068,O000035,M015,1,110,Large,,110
OI0000069,O000036,M015,1,110,Large,Oat Milk,140
OI0000070,O000036,M030,2,100,Large,,200
OI0000071,O000036,M010,1,130,Large,,130
OI0000072,O000037,M038,2,140,NA,,280
OI0000073,O000037,M019,1,100,NA,,100
OI0000074,O000038,M038,2,140,NA,,280
OI0000075,O000038,M035,1,100,NA,,100
OI0000076,O000039,M016,2,120,Large,Extra Shot,270
OI0000077,O000039,M035,1,100,NA,,100
OI0000078,O000040,M009,1,110,Small,Oat Milk,140
OI0000079,O000040,M014,1,90,Small,Oat Milk,120
OI0000080,O000041,M038,1,140,NA,,140
OI0000081,O000042,M008,1,100,Large,,100
OI0000082,O000042,M031,1,150,NA,,150
OI0000083,O000042,M034,1,60,NA,,60
OI0000084,O000043,M025,2,150,NA,,300
OI0000085,O000043,M022,1,120,NA,,120
OI0000086,O000044,M015,1,110,Large,,110
OI0000087,O000044,M005,1,60,Small,,60
OI0000088,O000045,M034,2,60,NA,,120
OI0000089,O000045,M009,2,110,Small,Extra Shot,250
OI0000090,O000046,M029,1,90,Small,,90
OI0000091,O000046,M010,1,130,Large,Extra Shot,160
OI0000092,O000046,M026,1,150,NA,,150
OI0000093,O000047,M022,2,120,NA,,240
OI0000094,O000048,M036,2,100,NA,,200
OI0000095,O000048,M010,1,130,Large,Oat Milk,160
OI0000096,O000048,M025,1,150,NA,,150
OI0000097,O000049,M002,1,70,Large,,70
OI0000098,O000049,M026,2,150,NA,,300
OI0000099,O000049,M015,2,110,Large,Oat Milk,250
OI0000100,O000050,M009,1,110,Small,Extra Shot,140
OI0000101,O000050,M036,1,100,NA,,100
OI0000102,O000051,M026,2,150,NA,,300
OI0000103,O000052,M005,2,60,Small,,120
OI0000104,O000052,M009,1,110,Small,Vanilla Syrup,140
OI0000105,O000053,M029,1,90,Small,,90
OI0000106,O000054,M035,1,100,NA,,100
OI0000107,O000054,M005,2,60,Small,,150
OI0000108,O000054,M036,1,100,NA,,100
OI0000109,O000055,M009,1,110,Small,Extra Shot,140
OI0000110,O000055,M005,2,60,Small,,150
OI0000111,O000055,M021,1,100,NA,,100
OI0000112,O000056,M034,1,60,NA,,60
OI0000113,O000057,M010,1,130,Large,,130
OI0000114,O000057,M006,2,75,Large,Extra Shot,180
OI0000115,O000058,M007,1,80,Small,Extra Shot,110
OI0000116,O000058,M006,2,75,Large,,150
OI0000117,O000059,M022,2,120,NA,,240
OI0000118,O000059,M034,1,60,NA,,60
OI0000119,O000060,M030,1,100,Large,,100
OI0000120,O000061,M003,1,55,Small,,85
OI0000121,O000062,M034,1,60,NA,,60
OI0000122,O000063,M035,1,100,NA,,100
OI0000123,O000063,M016,2,120,Large,Extra Shot,270
OI0000124,O000064,M010,1,130,Large,,130
OI0000125,O000065,M035,1,100,NA,,100
OI0000126,O000065,M019,2,100,NA,,200
OI0000127,O000065,M009,1,110,Small,,110
OI0000128,O000066,M010,1,130,Large,Extra Shot,160
OI0000129,O000066,M035,1,100,NA,,100
OI0000130,O000067,M030,1,100,Large,,100
OI0000131,O000068,M019,1,100,NA,,100
OI0000132,O000068,M034,2,60,NA,,120
OI0000133,O000069,M010,1,130,Large,,130
OI0000134,O000069,M009,1,110,Small,,110
OI0000135,O000070,M009,1,110,Small,,110
OI0000136,O000070,M014,1,90,Small,,90
OI0000137,O000071,M034,2,60,NA,,120
OI0000138,O000071,M035,2,100,NA,,200
OI0000139,O000071,M005,1,60,Small,,60
OI0000140,O000072,M016,2,120,Large,,240
OI0000141,O000073,M010,2,130,Large,,260
OI0000142,O000074,M025,1,150,NA,,150
OI0000143,O000074,M036,1,100,NA,,100
OI0000144,O000075,M011,1,130,Large,,130
OI0000145,O000075,M031,1,150,NA,,150
OI0000146,O000076,M009,1,110,Small,Extra Shot,140
OI0000147,O000076,M034,2,60,NA,,120
OI0000148,O000076,M027,2,90,Small,,180
OI0000149,O000077,M035,2,100,NA,,200
OI0000150,O000077,M009,1,110,Small,,110
OI0000151,O000078,M014,1,90,Small,Oat Milk,120
OI0000152,O000079,M006,2,75,Large,Oat Milk,180
OI0000153,O000079,M017,2,110,Small,,220
OI0000154,O000079,M030,2,100,Large,,200
OI0000155,O000079,M015,2,110,Large,,220
OI0000156,O000079,M019,2,100,NA,,200
OI0000157,O000079,M036,2,100,NA,,200
OI0000158,O000080,M035,1,100,NA,,100
OI0000159,O000080,M027,1,90,Small,,90
OI0000160,O000080,M009,1,110,Small,,110
OI0000161,O000080,M031,1,150,NA,,150
OI0000162,O000080,M027,1,90,Small,,90
OI0000163,O000081,M005,1,60,Small,Vanilla Syrup,90
OI0000164,O000081,M028,1,100,Large,,100
OI0000165,O000081,M035,1,100,NA,,100
OI0000166,O000081,M009,2,110,Small,,220
OI0000167,O000081,M006,2,75,Large,,150
OI0000168,O000081,M010,1,130,Large,,130
OI0000169,O000082,M009,1,110,Small,,110
OI0000170,O000082,M032,1,130,NA,,130
OI0000171,O000082,M037,1,120,NA,,120
OI0000172,O000082,M006,1,75,Large,,75
OI0000173,O000082,M035,1,100,NA,,100
OI0000174,O000083,M010,2,130,Large,Oat Milk,290
OI0000175,O000083,M005,2,60,Small,,120
OI0000176,O000083,M010,1,130,Large,,130
OI0000177,O000084,M005,1,60,Small,,60
OI0000178,O000084,M034,1,60,NA,,60
OI0000179,O000084,M015,2,110,Large,,220
OI0000180,O000084,M013,1,80,Small,Extra Shot,110
OI0000181,O000085,M020,1,100,NA,,100
OI0000182,O000085,M019,1,100,NA,,100
OI0000183,O000085,M009,1,110,Small,,110
OI0000184,O000085,M035,1,100,NA,,100
OI0000185,O000085,M031,1,150,NA,,150
OI0000186,O000086,M025,2,150,NA,,300
OI0000187,O000086,M037,1,120,NA,,120
OI0000188,O000086,M005,1,60,Small,,60
OI0000189,O000086,M005,1,60,Small,,90
OI0000190,O000086,M015,2,110,Large,Extra Shot,250
OI0000191,O000087,M017,2,110,Small,,220
OI0000192,O000087,M036,1,100,NA,,100
OI0000193,O000087,M016,1,120,Large,,120
OI0000194,O000087,M015,1,110,Large,,110
OI0000195,O000088,M008,1,100,Large,,100
OI0000196,O000088,M034,2,60,NA,,120
OI0000197,O000088,M002,2,70,Large,,140
OI0000198,O000088,M026,2,150,NA,,300
OI0000199,O000088,M006,1,75,Large,,75
OI0000200,O000089,M013,2,80,Small,Extra Shot,190
OI0000201,O000089,M005,2,60,Small,,120
OI0000202,O000089,M037,1,120,NA,,120
OI0000203,O000090,M035,2,100,NA,,200
OI0000204,O000090,M021,1,100,NA,,100
OI0000205,O000090,M009,1,110,Small,Extra Shot,140
OI0000206,O000090,M025,1,150,NA,,150
OI0000207,O000090,M004,2,70,Large,,140
OI0000208,O000091,M008,1,100,Large,,100
OI0000209,O000091,M002,1,70,Large,,70
OI0000210,O000091,M005,1,60,Small,,60
OI0000211,O000091,M014,1,90,Small,Vanilla Syrup,120
OI0000212,O000091,M025,2,150,NA,,300
OI0000213,O000092,M015,2,110,Large,Vanilla Syrup,250
OI0000214,O000092,M026,1,150,NA,,150
OI0000215,O000092,M025,1,150,NA,,150
OI0000216,O000093,M004,2,70,Large,,140
OI0000217,O000093,M026,1,150,NA,,150
OI0000218,O000093,M027,1,90,Small,,90
OI0000219,O000093,M008,1,100,Large,,100
OI0000220,O000094,M028,2,100,Large,,200
OI0000221,O000094,M009,1,110,Small,,110
OI0000222,O000094,M010,1,130,Large,,130
OI0000223,O000094,M010,1,130,Large,,130
OI0000224,O000095,M010,2,130,Large,Oat Milk,290
OI0000225,O000095,M006,1,75,Large,,75
OI0000226,O000095,M001,1,55,Small,,55
OI0000227,O000095,M023,2,130,NA,,260
OI0000228,O000096,M034,2,60,NA,,120
OI0000229,O000096,M016,2,120,Large,,240
OI0000230,O000096,M004,1,70,Large,,70
OI0000231,O000096,M015,1,110,Large,Extra Shot,140
OI0000232,O000097,M015,2,110,Large,,220
OI0000233,O000097,M025,1,150,NA,,150
OI0000234,O000097,M015,2,110,Large,,220
OI0000235,O000098,M023,1,130,NA,,130
OI0000236,O000098,M010,2,130,Large,,260
OI0000237,O000098,M005,1,60,Small,,60
OI0000238,O000098,M035,1,100,NA,,100
OI0000239,O000098,M033,1,100,NA,,100
OI0000240,O000098,M031,1,150,NA,,150
OI0000241,O000099,M028,2,100,Large,,200
OI0000242,O000099,M022,1,120,NA,,120
OI0000243,O000099,M002,1,70,Large,,70
OI0000244,O000100,M030,2,100,Large,,200
OI0000245,O000100,M035,2,100,NA,,200
OI0000246,O000100,M005,1,60,Small,Extra Shot,90
OI0000247,O000101,M006,1,75,Large,,75
OI0000248,O000101,M029,2,90,Small,,180
OI0000249,O000101,M035,2,100,NA,,200
OI0000250,O000101,M006,2,75,Large,,150
OI0000251,O000101,M031,1,150,NA,,150
OI0000252,O000102,M005,1,60,Small,,60
OI0000253,O000102,M022,2,120,NA,,240
OI0000254,O000102,M031,1,150,NA,,150
OI0000255,O000103,M015,2,110,Large,,220
OI0000256,O000103,M005,1,60,Small,,60
OI0000257,O000103,M026,1,150,NA,,150
OI0000258,O000103,M033,1,100,NA,,100
OI0000259,O000103,M010,1,130,Large,,130
OI0000260,O000104,M006,2,75,Large,,150
OI0000261,O000104,M019,1,100,NA,,100
OI0000262,O000104,M014,1,90,Small,Oat Milk,120
OI0000263,O000105,M006,2,75,Large,,180
OI0000264,O000105,M015,2,110,Large,,220
OI0000265,O000105,M025,1,150,NA,,150
OI0000266,O000105,M033,1,100,NA,,100
OI0000267,O000106,M010,1,130,Large,Extra Shot,160
OI0000268,O000106,M009,2,110,Small,,220
OI0000269,O000106,M034,1,60,NA,,60
OI0000270,O000107,M014,2,90,Small,Oat Milk,210
OI0000271,O000107,M013,2,80,Small,,160
OI0000272,O000107,M027,1,90,Small,,90
OI0000273,O000108,M005,1,60,Small,Extra Shot,90
OI0000274,O000108,M020,2,100,NA,,200
OI0000275,O000108,M034,2,60,NA,,120
OI0000276,O000108,M035,2,100,NA,,200
OI0000277,O000109,M018,2,130,Large,,260
OI0000278,O000109,M010,1,130,Large,,130
OI0000279,O000110,M024,1,110,NA,,110
OI0000280,O000110,M034,1,60,NA,,60
OI0000281,O000110,M015,1,110,Large,,110
OI0000282,O000110,M035,1,100,NA,,100
OI0000283,O000111,M009,1,110,Small,,110
OI0000284,O000111,M035,2,100,NA,,200
OI0000285,O000111,M006,1,75,Large,,75
OI0000286,O000111,M009,2,110,Small,,220
OI0000287,O000111,M006,1,75,Large,,75
OI0000288,O000112,M006,2,75,Large,,150
OI0000289,O000112,M015,1,110,Large,Extra Shot,140
OI0000290,O000112,M035,2,100,NA,,200
OI0000291,O000112,M021,1,100,NA,,100
OI0000292,O000112,M031,1,150,NA,,150
OI0000293,O000113,M009,1,110,Small,,110
OI0000294,O000113,M010,2,130,Large,Vanilla Syrup,290
OI0000295,O000113,M018,1,130,Large,,130
OI0000296,O000113,M037,1,120,NA,,120
OI0000297,O000114,M017,2,110,Small,,220
OI0000298,O000114,M005,2,60,Small,Extra Shot,150
OI0000299,O000114,M010,1,130,Large,Extra Shot,160
OI0000300,O000114,M003,1,55,Small,Extra Shot,85
OI0000301,O000115,M012,2,110,Large,,250
OI0000302,O000115,M014,2,90,Small,,180
OI0000303,O000115,M035,1,100,NA,,100
OI0000304,O000115,M006,2,75,Large,Oat Milk,180
OI0000305,O000115,M034,1,60,NA,,60
OI0000306,O000116,M010,1,130,Large,Extra Shot,160
OI0000307,O000116,M002,1,70,Large,,70
OI0000308,O000116,M034,1,60,NA,,60
OI0000309,O000116,M010,1,130,Large,,130
OI0000310,O000116,M029,1,90,Small,,90
OI0000311,O000117,M004,1,70,Large,,70
OI0000312,O000117,M015,1,110,Large,Vanilla Syrup,140
OI0000313,O000117,M009,1,110,Small,,110
OI0000314,O000118,M009,1,110,Small,,110
OI0000315,O000118,M005,1,60,Small,,60
OI0000316,O000118,M021,2,100,NA,,200
OI0000317,O000118,M015,2,110,Large,,220
OI0000318,O000118,M015,2,110,Large,,220
OI0000319,O000118,M031,2,150,NA,,300
OI0000320,O000119,M034,1,60,NA,,60
OI0000321,O000119,M035,1,100,NA,,100
OI0000322,O000119,M006,1,75,Large,Vanilla Syrup,105
OI0000323,O000119,M010,1,130,Large,Vanilla Syrup,160
OI0000324,O000119,M005,1,60,Small,,60
OI0000325,O000120,M035,1,100,NA,,100
OI0000326,O000120,M002,2,70,Large,,140
OI0000327,O000120,M005,1,60,Small,Vanilla Syrup,90
OI0000328,O000120,M034,1,60,NA,,60
OI0000329,O000121,M005,1,60,Small,Oat Milk,90
OI0000330,O000121,M017,1,110,Small,Extra Shot,140
OI0000331,O000121,M005,1,60,Small,Extra Shot,90
OI0000332,O000121,M037,1,120,NA,,120
OI0000333,O000121,M012,2,110,Large,,220
OI0000334,O000122,M029,1,90,Small,,90
OI0000335,O000122,M035,1,100,NA,,100
OI0000336,O000122,M006,1,75,Large,Oat Milk,105
OI0000337,O000123,M006,1,75,Large,,105
OI0000338,O000123,M037,1,120,NA,,120
OI0000339,O000123,M009,1,110,Small,,110
OI0000340,O000123,M031,2,150,NA,,300
OI0000341,O000123,M015,2,110,Large,,220
OI0000342,O000124,M005,1,60,Small,Vanilla Syrup,90
OI0000343,O000124,M034,1,60,NA,,60
OI0000344,O000124,M005,1,60,Small,,60
OI0000345,O000125,M006,1,75,Large,Vanilla Syrup,105
OI0000346,O000125,M034,1,60,NA,,60
OI0000347,O000125,M010,2,130,Large,,260
OI0000348,O000125,M035,2,100,NA,,200
OI0000349,O000125,M010,1,130,Large,,130
OI0000350,O000125,M034,1,60,NA,,60
OI0000351,O000126,M034,1,60,NA,,60
OI0000352,O000126,M030,1,100,Large,,100
OI0000353,O000127,M010,1,130,Large,Vanilla Syrup,160
OI0000354,O000127,M021,1,100,NA,,100
OI0000355,O000127,M035,1,100,NA,,100
OI0000356,O000127,M025,2,150,NA,,300
OI0000357,O000128,M016,2,120,Large,,240
OI0000358,O000128,M034,2,60,NA,,120
OI0000359,O000128,M002,2,70,Large,Extra Shot,170
OI0000360,O000128,M009,1,110,Small,,140
OI0000361,O000128,M003,1,55,Small,,55
OI0000362,O000129,M006,1,75,Large,,75
OI0000363,O000129,M012,1,110,Large,,110
OI0000364,O000129,M034,2,60,NA,,120
OI0000365,O000129,M010,1,130,Large,,130
OI0000366,O000130,M035,1,100,NA,,100
OI0000367,O000130,M026,1,150,NA,,150
OI0000368,O000130,M008,2,100,Large,,200
OI0000369,O000131,M015,1,110,Large,,110
OI0000370,O000131,M006,1,75,Large,Extra Shot,105
OI0000371,O000131,M007,2,80,Small,,160
OI0000372,O000131,M034,2,60,NA,,120
OI0000373,O000132,M009,1,110,Small,,110
OI0000374,O000132,M034,2,60,NA,,120
OI0000375,O000132,M031,1,150,NA,,150
OI0000376,O000132,M006,1,75,Large,,75
OI0000377,O000132,M015,2,110,Large,,220
OI0000378,O000132,M035,1,100,NA,,100
OI0000379,O000133,M006,2,75,Large,Oat Milk,180
OI0000380,O000133,M015,2,110,Large,,220
OI0000381,O000133,M034,2,60,NA,,120
OI0000382,O000133,M021,2,100,NA,,200
OI0000383,O000133,M005,2,60,Small,,120
OI0000384,O000134,M015,2,110,Large,,220
OI0000385,O000134,M005,1,60,Small,,60
OI0000386,O000134,M006,2,75,Large,Extra Shot,180
OI0000387,O000134,M004,1,70,Large,,70
OI0000388,O000135,M016,2,120,Large,,240
OI0000389,O000135,M031,1,150,NA,,150
OI0000390,O000136,M010,1,130,Large,,130
OI0000391,O000136,M035,2,100,NA,,200
OI0000392,O000136,M010,2,130,Large,Vanilla Syrup,290
OI0000393,O000136,M032,1,130,NA,,130
OI0000394,O000137,M020,1,100,NA,,100
OI0000395,O000137,M006,1,75,Large,Vanilla Syrup,105
OI0000396,O000137,M024,1,110,NA,,110
OI0000397,O000137,M034,1,60,NA,,60
OI0000398,O000138,M006,1,75,Large,Extra Shot,105
OI0000399,O000138,M018,1,130,Large,Vanilla Syrup,160
OI0000400,O000138,M009,1,110,Small,,110
OI0000401,O000138,M015,2,110,Large,,250
OI0000402,O000138,M034,2,60,NA,,120
OI0000403,O000138,M019,1,100,NA,,100
OI0000404,O000139,M006,1,75,Large,Vanilla Syrup,105
OI0000405,O000139,M009,2,110,Small,Extra Shot,250
OI0000406,O000139,M012,2,110,Large,Oat Milk,250
OI0000407,O000140,M005,1,60,Small,,60
OI0000408,O000140,M021,1,100,NA,,100
OI0000409,O000140,M031,1,150,NA,,150
OI0000410,O000140,M031,2,150,NA,,300
OI0000411,O000140,M034,1,60,NA,,60
OI0000412,O000140,M009,1,110,Small,,110
OI0000413,O000141,M015,1,110,Large,Extra Shot,140
OI0000414,O000141,M010,1,130,Large,,130
OI0000415,O000141,M010,2,130,Large,,260
OI0000416,O000141,M006,1,75,Large,,75
OI0000417,O000142,M021,1,100,NA,,100
OI0000418,O000142,M005,1,60,Small,,60
OI0000419,O000142,M009,2,110,Small,Vanilla Syrup,250
OI0000420,O000143,M015,2,110,Large,,220
OI0000421,O000143,M006,1,75,Large,,75
OI0000422,O000143,M015,2,110,Large,,220
OI0000423,O000143,M034,1,60,NA,,60
OI0000424,O000144,M015,1,110,Large,,110
OI0000425,O000144,M035,1,100,NA,,100
OI0000426,O000144,M027,1,90,Small,,90
OI0000427,O000145,M009,1,110,Small,,110
OI0000428,O000145,M029,1,90,Small,,90
OI0000429,O000145,M014,1,90,Small,Oat Milk,120
OI0000430,O000145,M004,2,70,Large,,140
OI0000431,O000146,M035,2,100,NA,,200
OI0000432,O000146,M037,1,120,NA,,120
OI0000433,O000146,M034,2,60,NA,,120
OI0000434,O000146,M014,2,90,Small,Extra Shot,210
OI0000435,O000146,M006,1,75,Large,,75
OI0000436,O000147,M010,1,130,Large,Vanilla Syrup,160
OI0000437,O000147,M035,1,100,NA,,100
OI0000438,O000147,M009,2,110,Small,Vanilla Syrup,250
OI0000439,O000147,M022,1,120,NA,,120
OI0000440,O000148,M005,2,60,Small,Vanilla Syrup,150
OI0000441,O000148,M030,2,100,Large,,200
OI0000442,O000148,M006,2,75,Large,,150
OI0000443,O000148,M004,1,70,Large,,70
OI0000444,O000149,M012,1,110,Large,,110
OI0000445,O000149,M005,1,60,Small,Extra Shot,90
OI0000446,O000149,M035,1,100,NA,,100
OI0000447,O000150,M034,2,60,NA,,120
OI0000448,O000150,M005,2,60,Small,,150
OI0000449,O000150,M005,2,60,Small,,120
OI0000450,O000150,M004,2,70,Large,,140
OI0000451,O000151,M009,1,110,Small,,140
OI0000452,O000151,M023,2,130,NA,,260
OI0000453,O000151,M034,1,60,NA,,60
OI0000454,O000151,M011,1,130,Large,Oat Milk,160
OI0000455,O000151,M015,1,110,Large,,110
OI0000456,O000151,M031,2,150,NA,,300
OI0000457,O000152,M035,2,100,NA,,200
OI0000458,O000152,M006,2,75,Large,Vanilla Syrup,180
OI0000459,O000152,M005,2,60,Small,Vanilla Syrup,150
OI0000460,O000152,M015,2,110,Large,,220
OI0000461,O000152,M003,1,55,Small,,55
OI0000462,O000152,M005,1,60,Small,,60
OI0000463,O000153,M004,2,70,Large,,140
OI0000464,O000153,M025,1,150,NA,,150
OI0000465,O000153,M006,1,75,Large,Oat Milk,105
OI0000466,O000153,M034,1,60,NA,,60
OI0000467,O000153,M005,1,60,Small,Extra Shot,90
OI0000468,O000153,M024,2,110,NA,,220
OI0000469,O000154,M034,2,60,NA,,120
OI0000470,O000154,M011,2,130,Large,,260
OI0000471,O000154,M037,1,120,NA,,120
OI0000472,O000154,M013,1,80,Small,,80
OI0000473,O000155,M009,1,110,Small,,110
OI0000474,O000155,M006,1,75,Large,,75
OI0000475,O000155,M005,2,60,Small,,120
OI0000476,O000155,M034,2,60,NA,,120
OI0000477,O000156,M036,1,100,NA,,100
OI0000478,O000156,M035,2,100,NA,,200
OI0000479,O000156,M023,1,130,NA,,130
OI0000480,O000157,M012,1,110,Large,,110
OI0000481,O000157,M031,1,150,NA,,150
OI0000482,O000157,M017,1,110,Small,,140
OI0000483,O000157,M015,1,110,Large,,110
OI0000484,O000158,M035,1,100,NA,,100
OI0000485,O000158,M010,1,130,Large,,130
OI0000486,O000158,M008,2,100,Large,,200
OI0000487,O000158,M035,2,100,NA,,200
OI0000488,O000158,M036,1,100,NA,,100
OI0000489,O000159,M005,1,60,Small,,60
OI0000490,O000159,M006,1,75,Large,,75
OI0000491,O000159,M031,1,150,NA,,150
OI0000492,O000160,M022,1,120,NA,,120
OI0000493,O000160,M008,2,100,Large,,200
OI0000494,O000160,M036,2,100,NA,,200
OI0000495,O000161,M005,1,60,Small,Oat Milk,90
OI0000496,O000161,M036,2,100,NA,,200
OI0000497,O000161,M026,2,150,NA,,300
OI0000498,O000161,M021,2,100,NA,,200
OI0000499,O000161,M005,2,60,Small,Oat Milk,150
OI0000500,O000161,M034,2,60,NA,,120
OI0000501,O000162,M034,1,60,NA,,60
OI0000502,O000162,M005,1,60,Small,,60
OI0000503,O000162,M017,2,110,Small,,220
OI0000504,O000163,M035,1,100,NA,,100
OI0000505,O000163,M006,2,75,Large,Vanilla Syrup,180
OI0000506,O000163,M031,1,150,NA,,150
OI0000507,O000163,M018,1,130,Large,,130
OI0000508,O000164,M034,2,60,NA,,120
OI0000509,O000164,M006,2,75,Large,,150
OI0000510,O000165,M005,1,60,Small,Vanilla Syrup,90
OI0000511,O000165,M035,2,100,NA,,200
OI0000512,O000165,M034,1,60,NA,,60
OI0000513,O000165,M030,1,100,Large,,100
OI0000514,O000166,M001,2,55,Small,Oat Milk,140
OI0000515,O000166,M031,1,150,NA,,150
OI0000516,O000166,M027,1,90,Small,,90
OI0000517,O000166,M011,1,130,Large,,130
OI0000518,O000167,M034,2,60,NA,,120
OI0000519,O000167,M035,2,100,NA,,200
OI0000520,O000167,M010,2,130,Large,,260
OI0000521,O000167,M015,2,110,Large,,220
OI0000522,O000167,M035,2,100,NA,,200
OI0000523,O000167,M035,1,100,NA,,100
OI0000524,O000168,M001,2,55,Small,,110
OI0000525,O000168,M020,1,100,NA,,100
OI0000526,O000168,M031,2,150,NA,,300
OI0000527,O000168,M035,2,100,NA,,200
OI0000528,O000169,M015,1,110,Large,,110
OI0000529,O000169,M010,2,130,Large,,260
OI0000530,O000169,M035,1,100,NA,,100
OI0000531,O000170,M009,1,110,Small,,110
OI0000532,O000170,M035,2,100,NA,,200
OI0000533,O000170,M022,1,120,NA,,120
OI0000534,O000170,M033,2,100,NA,,200
OI0000535,O000170,M006,2,75,Large,,150
OI0000536,O000171,M035,1,100,NA,,100
OI0000537,O000171,M017,2,110,Small,Extra Shot,250
OI0000538,O000171,M026,1,150,NA,,150
OI0000539,O000171,M020,2,100,NA,,200
OI0000540,O000172,M022,2,120,NA,,240
OI0000541,O000172,M004,1,70,Large,,70
OI0000542,O000172,M031,1,150,NA,,150
OI0000543,O000173,M008,1,100,Large,Vanilla Syrup,130
OI0000544,O000173,M008,2,100,Large,,200
OI0000545,O000173,M005,1,60,Small,,60
OI0000546,O000173,M026,1,150,NA,,150
OI0000547,O000173,M035,1,100,NA,,100
OI0000548,O000173,M035,1,100,NA,,100
OI0000549,O000174,M036,1,100,NA,,100
OI0000550,O000174,M006,1,75,Large,Extra Shot,105
OI0000551,O000174,M020,1,100,NA,,100
OI0000552,O000174,M010,1,130,Large,,160
OI0000553,O000175,M028,1,100,Large,,100
OI0000554,O000175,M034,1,60,NA,,60
OI0000555,O000175,M038,1,140,NA,,140
OI0000556,O000175,M035,1,100,NA,,100
OI0000557,O000176,M034,1,60,NA,,60
OI0000558,O000176,M035,2,100,NA,,200
OI0000559,O000176,M005,1,60,Small,,60
OI0000560,O000176,M034,1,60,NA,,60
OI0000561,O000176,M023,1,130,NA,,130
OI0000562,O000177,M016,2,120,Large,,240
OI0000563,O000177,M027,1,90,Small,,90
OI0000564,O000177,M033,1,100,NA,,100
OI0000565,O000177,M009,1,110,Small,Vanilla Syrup,140
OI0000566,O000178,M021,1,100,NA,,100
OI0000567,O000178,M017,1,110,Small,,110
OI0000568,O000178,M031,2,150,NA,,300
OI0000569,O000178,M010,1,130,Large,Vanilla Syrup,160
OI0000570,O000179,M002,1,70,Large,,70
OI0000571,O000179,M015,1,110,Large,Oat Milk,140
OI0000572,O000179,M022,1,120,NA,,120
