order_id,order_date,order_time,total_amount,tax,payment_method,order_type,order_status,day_type
O000001,2025-11-18,22:00,376.2,46.2,card,TAKEAWAY,Completed,weekday
O000002,2025-11-18,16:39,285.0,35.0,CASH,Dine in,Completed,weekday
O000003,2025-11-18,12:47,114.0,14.0,card,Dine in,Completed,weekday
O000004,2025-11-18,16:31,68.4,8.4,card,Dine in,Completed,weekday
O000005,2025-11-18,22:12,114.0,14.0,card,Dine in,Completed,weekday
O000006,2025-11-18,13:21,273.6,33.6,card,TAKEAWAY,Completed,weekday
O000007,2025-11-18,12:45,524.4,64.4,CASH,Dine in,Completed,weekday
O000008,2025-11-18,12:42,296.4,36.4,card,TAKEAWAY,Completed,weekday
O000009,2025-11-18,22:27,114.0,14.0,CASH,Dine in,Completed,weekday
O000010,2025-11-18,16:58,307.8,37.8,card,Dine in,Completed,weekday
O000011,2025-11-18,22:47,285.0,35.0,CASH,Dine in,Completed,weekday
O000012,2025-11-18,20:57,404.7,49.7,card,Dine in,Completed,weekday
O000013,2025-11-18,15:38,421.8,51.8,,TAKEAWAY,Completed,weekday
O000014,2025-11-18,14:37,387.6,47.6,CASH,Dine in,Completed,weekday
O000015,2025-11-18,10:41,102.6,12.6,CASH,Dine in,Completed,weekday
O000016,2025-11-18,14:34,364.8,44.8,CASH,TAKEAWAY,Completed,weekday
O000017,2025-11-18,19:45,598.5,73.5,card,Dine in,Completed,weekday
O000018,2025-11-18,13:24,125.4,15.4,card,TAKEAWAY,Completed,weekday
O000019,2025-11-18,10:32,239.4,29.4,CASH,TAKEAWAY,Completed,weekday
O000020,2025-11-18,13:22,273.6,33.6,card,TAKEAWAY,Completed,weekday
O000021,2025-11-18,17:30,114.0,14.0,CASH,TAKEAWAY,Completed,weekday
O000022,2025-11-18,21:37,661.2,81.2,CASH,TAKEAWAY,Completed,weekday
O000023,2025-11-18,13:49,376.2,46.2,CASH,TAKEAWAY,Completed,weekday
O000024,2025-11-18,10:10,68.4,8.4,,Dine in,Completed,weekday
O000025,2025-11-18,19:24,364.8,44.8,CASH,Dine in,Completed,weekday
O000026,2025-11-18,15:32,102.6,12.6,,Dine in,Completed,weekday
O000027,2025-11-18,17:25,239.4,29.4,CASH,TAKEAWAY,Completed,weekday
O000028,2025-11-18,13:02,114.0,14.0,CASH,TAKEAWAY,Completed,weekday
O000029,2025-11-18,19:28,119.7,14.7,CASH,Dine in,Completed,weekday
O000030,2025-11-18,10:23,490.2,60.2,card,Dine in,Completed,weekday
O000031,2025-11-18,11:05,285.0,35.0,CASH,Dine in,Completed,weekday
O000032,2025-11-18,17:43,296.4,36.4,CASH,Dine in,Completed,weekday
O000033,2025-11-18,20:04,467.4,57.4,card,Dine in,Completed,weekday
O000034,2025-11-18,16:10,490.2,60.2,card,Dine in,Completed,weekday
O000035,2025-11-18,13:32,273.6,33.6,card,TAKEAWAY,Completed,weekday
O000036,2025-11-18,13:43,535.8,65.8,card,TAKEAWAY,Completed,weekday
O000037,2025-11-18,20:47,433.2,53.2,card,,Completed,weekday
O000038,2025-11-18,13:25,433.2,53.2,card,TAKEAWAY,Completed,weekday
O000039,2025-11-18,20:47,421.8,51.8,card,Dine in,Completed,weekday
O000040,2025-11-19,20:27,296.4,36.4,CASH,TAKEAWAY,Completed,weekday
O000041,2025-11-19,13:02,159.6,19.6,CASH,TAKEAWAY,Completed,weekday
O000042,2025-11-19,16:02,353.4,43.4,,TAKEAWAY,Completed,weekday
O000043,2025-11-19,12:31,478.8,58.8,,TAKEAWAY,Completed,weekday
O000044,2025-11-19,14:48,193.8,23.8,card,TAKEAWAY,Completed,weekday
O000045,2025-11-19,11:47,421.8,51.8,,Dine in,Completed,weekday
O000046,2025-11-19,18:13,456.0,56.0,card,TAKEAWAY,Completed,weekday
O000047,2025-11-19,10:16,273.6,33.6,CASH,Dine in,Completed,weekday
O000048,2025-11-19,10:46,581.4,71.4,card,TAKEAWAY,Completed,weekday
O000049,2025-11-19,20:41,706.8,86.8,CASH,Dine in,Completed,weekday
O000050,2025-11-19,12:10,273.6,33.6,card,TAKEAWAY,Completed,weekday
O000051,2025-11-19,19:10,342.0,42.0,card,,Completed,weekday
O000052,2025-11-19,16:07,296.4,36.4,card,Dine in,Completed,weekday
O000053,2025-11-19,22:52,102.6,12.6,card,,Completed,weekday
O000054,2025-11-19,19:31,399.0,49.0,card,TAKEAWAY,Completed,weekday
O000055,2025-11-19,15:23,444.6,54.6,,TAKEAWAY,Completed,weekday
O000056,2025-11-19,11:17,68.4,8.4,CASH,Dine in,Completed,weekday
O000057,2025-11-19,18:44,353.4,43.4,card,TAKEAWAY,Completed,weekday
O000058,2025-11-19,22:58,296.4,36.4,card,TAKEAWAY,Completed,weekday
O000059,2025-11-19,13:47,342.0,42.0,CASH,TAKEAWAY,Completed,weekday
O000060,2025-11-19,17:09,114.0,14.0,CASH,TAKEAWAY,Completed,weekday
O000061,2025-11-19,10:15,96.9,11.9,CASH,TAKEAWAY,Completed,weekday
O000062,2025-11-19,22:47,68.4,8.4,card,,Completed,weekday
O000063,2025-11-19,17:41,421.8,51.8,card,Dine in,Completed,weekday
O000064,2025-11-19,12:29,148.2,18.2,card,,Completed,weekday
O000065,2025-11-19,14:41,467.4,57.4,CASH,TAKEAWAY,Completed,weekday
O000066,2025-11-19,14:29,296.4,36.4,,TAKEAWAY,Completed,weekday
O000067,2025-11-19,14:50,114.0,14.0,card,Dine in,Completed,weekday
O000068,2025-11-19,10:51,250.8,30.8,card,Dine in,Completed,weekday
O000069,2025-11-19,21:10,273.6,33.6,card,Dine in,Completed,weekday
O000070,2025-11-19,14:47,228.0,28.0,card,Dine in,Completed,weekday
O000071,2025-11-19,17:29,433.2,53.2,card,Dine in,Completed,weekday
O000072,2025-11-19,12:52,273.6,33.6,card,Dine in,Completed,weekday
